# from Pete's PEDS paper
>header
sequence name, T50

>data
11111111,59.9,
22222222,62.2,
55555555,62.9,
15555555,63.9,
51555555,61.9,
55155555,64.3,
55515555,61,
55551555,62,
55555155,60.5,
55555551,61.9,
25555555,62.5,
52555555,62.9,
55255555,62,
55525555,62.4,
55552555,63.6,
55555255,63.2,
55555552,64.6,
35555555,62.7,
53555555,62.6,
55355555,61.3,
55535555,59,
55553555,62.9,
55555355,60.3,
55555553,60.6,
45555555,62.7,
54555555,62.2,
55455555,61.2,
55545555,59.7,
55554555,60.8,
55555455,58.3,
55555554,59.7,
55515551,58.2, # disulphude chimera
55525552,63.1, # disulphude chimera
55155552,64.4,
55152552,65.7,
55552552,65.5,
55555252,64.8,
55552255,63.8,
55155255,64.6,
55552252,65.6,
55152252,66.3,
42122252,65,
34152252,64,
25152252,65,
52152552,64.5,
13152552,65,
12152252,65.3,
12153252,64.7,
22153252,64.4,
55153252,65.3,
55153552,64.3,
53123252,64.3,
45153252,64.8,
32153252,64.3,
12153552,64.9,
25152222,63.6,
55552222,62.5,
55152222,63.4,
55153222,62.5,
