
## PNAS GP paper DATASET S2: Experimental data collected on chimeric P450s. The sequences with 'NaN's as entries did not produce folded P450s. The reported enzymatic activity values are 100X the measured value.

>header
sequence, Soret peak, 2-phenoxyethanol, ethoxybenzene, ethyl phenoxyacetate, propranolol, chlorzoxazone, 11-phenoxyundecanoic acid, 3-phenoxytoluene, ethyl 4-phenylbutyrate, diphenyl ether, 2-amino-5-chlorobenzoxazole, tolbutamide, 1,2-methylenedioxybenzene, dopamine Kd (mM), serotonin Kd (mM)

>data
11111111,    417,  13.03,   2.60,   1.52,   2.57,   0.61,   5.56,   1.35,   0.56,   0.82,   2.65,   0.45,   0.20,   0.55,   0.52
22222222,    417,   2.71,   1.01,   1.26,   1.46,   0.53,   1.18,   1.35,   0.55,   1.20,   6.26,   0.54,   0.88,   3.51,   1.05
33333333,    417,   2.35,   3.47,   1.47,   0.74,   0.89,   2.25,   1.90,   0.66,   0.88,   2.48,   0.51,   0.65,   5.30,   1.80
13222212,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN
22132113,    419,   5.69,   4.62,   2.51,   1.45,   0.98,   1.87,   2.09,   0.74,   1.10,   2.32,   0.50,   0.44,   5.38,   2.38
21232332,    417,   1.69,   0.94,   1.08,   1.01,   0.85,   0.68,   0.80,   0.59,   0.29,   2.86,   0.50,   0.39,  19.47,   1.51
31233233,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN
12112333,    417,  32.04,   3.31,   2.62,   1.73,   0.63,   3.13,   1.89,   0.55,   1.49,   3.36,   0.51,   0.69,   0.50,   1.18
33332131,    417,   1.99,   2.61,   1.17,   0.88,   0.91,   3.51,   1.05,   0.54,   0.75,   2.18,   0.44,   0.49,   7.64,   1.73
32211323,    397,   4.40,   1.28,   1.42,   2.05,   0.64,   2.16,   0.72,   0.60,   1.07,   3.65,   0.45,   0.76,   8.72,  18.88
21313313,    417,   6.98,   2.20,   1.85,   2.79,   0.62,   0.83,   1.69,   0.62,   1.26,   4.46,   0.53,   0.66,   0.53,   0.42
23211132,    425,   1.98,   2.74,   1.33,   0.42,   0.28,   0.48,   1.89,   0.29,   0.97,   3.16,   0.29,   0.50, 500.00, 500.00
11323313,    415,  27.25,  10.02,   4.06,   7.60,   0.71,  26.11,   2.93,   0.59,   2.00,   2.31,   0.45,  -0.13,   1.01,   0.40
23133331,    419,   2.74,   1.10,   1.13,   1.25,   0.86,   2.65,   1.38,   0.53,   0.67,   2.36,   0.48,   0.49,  11.03,   1.84
32213132,    397,   8.14,   3.10,   2.64,   0.97,   1.00,   0.94,   1.86,   0.47,   1.14,   2.28,   0.45,   0.66,  10.83,  11.65
22222121,    419,   3.06,   1.15,   1.30,   1.46,   0.66,   0.78,   1.21,   0.62,   0.76,   3.12,   0.59,   0.72,   3.99,   1.63
12212211,    419,   2.42,   1.11,   1.25,   1.40,   0.57,   0.74,   1.24,   0.55,   0.85,   3.12,   0.59,   0.77,   0.75,   1.28
21132222,    417,   1.69,   0.83,   1.12,   1.27,   0.78,   1.41,   0.90,   0.55,   1.12,   2.59,   0.48,   0.63,   4.90,   0.64
12331123,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN
22331332,    417,   2.89,   1.13,   1.25,   1.41,   0.90,   1.14,   1.46,   0.44,   1.10,   3.50,   0.43,   0.61,  12.77,   2.99
21312231,    417,   2.02,   0.98,   1.18,   1.67,   0.51,   0.64,   1.06,   0.61,   0.72,   3.10,   0.56,   0.72,   1.87,   0.69
22323313,    419,   4.88,   3.83,   2.29,   1.70,   0.98,   0.47,   1.82,   0.57,   0.59,   2.27,   0.48,   0.67,   0.98,   0.86
11333213,    417,   3.65,   1.50,   1.15,   3.37,   0.78,   5.33,   1.02,   0.50,   0.68,   2.44,   0.44,   0.47,   4.85,   0.61
22213223,    417,   3.71,   1.23,   1.58,   1.21,   0.61,   0.64,   1.16,   0.69,   0.92,   3.11,   0.60,   0.90,   1.03,   0.91
11331333,    417,   2.91,   2.28,   1.23,   2.05,   0.78,   2.95,   1.45,   0.54,   0.43,   2.42,   0.47,   0.53,   3.48,   1.00
11123313,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN
22113211,    419,  10.09,   1.38,   1.73,   1.26,   0.61,   0.55,   1.15,   0.54,   0.80,   2.78,   0.56,   0.79,   2.90,   2.55
11121111,    417,  11.92,   2.84,   1.98,   3.70,   0.77,  12.57,   1.44,   0.86,   0.74,   2.46,   0.51,  -0.04,   0.52,   0.92
12322333,    417,  12.98,   2.00,   1.90,   2.13,   0.62,   6.37,   1.42,   0.60,   0.90,   3.72,   0.52,   0.53,   1.96,   1.23
11313233,    415,  11.01,   2.72,   1.48,   1.74,   0.53,   6.79,   1.09,   0.58,   0.96,   3.38,   0.50,   0.46,   3.30,   0.62
22312322,    399,  12.78,   1.95,   1.96,   2.12,   0.81,   3.41,   1.04,   0.50,   0.69,   6.16,   0.51,   0.57,  15.79,  14.44
23333123,    417,   2.31,   2.62,   1.20,   0.44,   0.43,   1.44,   1.18,   0.23,   0.41,   3.33,   0.24,   0.32,   8.09,   2.24
11322333,    417,   6.66,   1.92,   1.28,   2.80,   0.60,  11.01,   1.02,   0.53,   0.79,   2.84,   0.52,   0.36,   2.41,   0.49
