>header
sequence name, functional

>data
223212, 0
133232, 0
133233, 0
132133, 0
332121, 0
131112, 0
131111, 0
221322, 0
332333, 1
132112, 1
211322, 0
231322, 0
212111, 1
212222, 0
131232, 0
112211, 1
122222, 1
222122, 1
112333, 0
133331, 0
133133, 0
111231, 0
211121, 1
211122, 0
111122, 0
133132, 0
132333, 0
233322, 0
111211, 1
132311, 0
332322, 0
333333, 1
232212, 0
313221, 0
313211, 0
232232, 0
233123, 0
222112, 1
212122, 1
233333, 0
131123, 0
222222, 1
112111, 1
333111, 0
111111, 1
111221, 0
211132, 0
212211, 1
