>header
sequence name, functional

>data
12112122, 1
12122222, 1
12312122, 1
31313333, 1
13112213, 0
32313333, 1
32222233, 1
12112311, 1
22222222, 1
12122122, 1
22112232, 1
23132332, 1
23232122, 1
23133222, 1
23233132, 1
23222322, 1
23132312, 0
23232332, 1
13133222, 0
21122112, 1
23332232, 1
32223323, 0
23113322, 0
13132122, 0
11322122, 1
11312112, 1
23333132, 1
22312332, 1
21232322, 1
23333332, 1
31212133, 1
12312112, 1
33333333, 1
23333232, 1
11322222, 1
12322322, 1
13333131, 1
33313233, 1
23132232, 1
23333112, 0
21233333, 1
21332332, 1
22313131, 1
11112111, 1
33213332, 0
33232333, 0
13322133, 0
13133322, 0
23232322, 1
22112322, 1
13112122, 0
32212333, 1
11322111, 1
21332322, 1
11312122, 1
21112132, 1
23223332, 1
32313133, 1
13132112, 0
33333222, 1
23232232, 1
21333332, 1
22312222, 1
